nom,adresse,arrondissement,latitude,longitude,type_cuisine,specialite,prix_fourchette,categorie_prix,note_moyenne,nb_avis,ambiance,telephone,reservation_recommandee
Bistrot Nouveau Gourmand,"36 boulevard Haussmann, 75018 Paris",75018,48.837475,2.350175,Grecque,Végan,20-30,Moyenne gamme,3.5,626,Romantique,0181359399,false
Laurent,"41 rue du Temple, 75014 Paris",75014,48.924054,2.341159,Indien,Sushi,30-50,Moyenne gamme,3.2,399,Cosy,0155548743,false
Paris & Moulin,"21 rue Vaugirard, 75010 Paris",75010,48.945404,2.397302,Street food,,30-50,Moyenne gamme,4.2,731,Branché,0115943947,false
Hubert & Joly,"72 rue Didot, 75012 Paris",75012,48.9088,2.344681,Vietnamien,Pizza,10-20,Bon marché,4.2,185,Calme,0130695844,false
Les Gallet,"15 rue Lepic, 75002 Paris",75002,48.84503,2.291927,Bistrot,Marocain,100+,Haut de gamme,4.8,332,Animé,0193736092,true
Table Français,"150 rue de la Convention, 75019 Paris",75019,48.871767,2.2608,Espagnol,,20-30,Moyenne gamme,4.0,103,Familial,0124299030,false
Henry & Labbé,"120 avenue de Clichy, 75009 Paris",75009,48.962149,2.398895,Végétarien,Chinois,100+,Haut de gamme,4.5,797,Festif,0124476530,true
Les Traore,"129 avenue Montaigne, 75017 Paris",75017,48.803311,2.407947,Tapas,Africain,100+,Haut de gamme,3.4,392,Décontracté,0179771086,true
Les Morvan,"62 rue de la Paix, 75008 Paris",75008,48.889705,2.353121,Végan,Méditerranéen,10-20,Bon marché,5.0,555,Élégant,0126947080,true
Chez Emmanuel,"139 rue Réaumur, 75007 Paris",75007,48.900012,2.28912,Bistrot,,30-50,Moyenne gamme,3.9,539,Authentique,0125413818,true
Chez Jeanne,"2 rue Saint-Honoré, 75002 Paris",75002,48.84131,2.330405,Italien,,10-20,Bon marché,4.0,295,Historique,0137792683,false
Briand & David,"49 boulevard Haussmann, 75004 Paris",75004,48.832336,2.326264,Vietnamien,Brasserie,10-20,Bon marché,4.3,671,Cosy,0117615323,true
Martinez & Morin,"47 rue de la Roquette, 75015 Paris",75015,48.836337,2.318177,Japonais,Gastronomique,10-20,Bon marché,3.1,563,Romantique,0121403162,true
Le Gourmand de la Tour,"117 rue Daguerre, 75014 Paris",75014,48.89931,2.335485,Caribéen,Brasserie,20-30,Moyenne gamme,3.4,232,Familial,0184791750,true
Goût de Paris,"131 rue Montorgueil, 75006 Paris",75006,48.911753,2.346089,Japonais,Burger,50-100,Haut de gamme,3.2,921,Calme,0184861589,true
Les Carpentier,"67 rue de Buci, 75011 Paris",75011,48.812454,2.286236,Coréen,Tapas,30-50,Moyenne gamme,3.9,961,Branché,0111688982,false
Les Rey,"34 avenue de Wagram, 75003 Paris",75003,48.81761,2.399282,Crêperie,Brésilien,100+,Haut de gamme,4.4,636,Convivial,0111958048,false
Les Bodin,"30 boulevard Haussmann, 75018 Paris",75018,48.872008,2.297036,Mexicain,Ramen,30-50,Moyenne gamme,3.4,659,Traditionnel,0174724216,true
Au Parisien de la Tour,"42 boulevard de Grenelle, 75018 Paris",75018,48.852404,2.402827,Gastronomique,Japonais,20-30,Moyenne gamme,4.1,864,Intime,0184802865,true
Guilbert,"54 boulevard de Magenta, 75008 Paris",75008,48.925216,2.306472,Vietnamien,,50-100,Haut de gamme,4.9,777,Élégant,0140303262,true
Auger & Delahaye,"64 rue de la Roquette, 75006 Paris",75006,48.832832,2.305805,Végan,Italien,50-100,Haut de gamme,3.4,846,Authentique,0154493938,true
Vasseur,"72 avenue de Wagram, 75017 Paris",75017,48.858767,2.383693,Caribéen,Végétarien,10-20,Bon marché,4.8,277,Décontracté,0184431423,false
Pons & Pruvost,"131 rue Oberkampf, 75013 Paris",75013,48.905936,2.362776,Burger,Grecque,10-20,Bon marché,4.0,835,Animé,0156651895,false
Robert,"77 rue Caulaincourt, 75010 Paris",75010,48.893149,2.250069,Thaïlandais,Pizza,100+,Haut de gamme,3.3,440,Terrasse,0196328882,true
Les Thierry,"54 rue de la Convention, 75019 Paris",75019,48.905274,2.265876,Thaïlandais,Brasserie,20-30,Moyenne gamme,4.0,822,Décontracté,0194204675,false
Chez Susan,"80 rue Lepic, 75007 Paris",75007,48.865276,2.317941,Italien,Brasserie,100+,Haut de gamme,4.7,84,Authentique,0163908334,false
Chez Hugues,"2 boulevard Haussmann, 75014 Paris",75014,48.901227,2.411507,Africain,Gastronomique,20-30,Moyenne gamme,4.8,134,Authentique,0127699577,false
Rocher & Briand,"130 rue de la Convention, 75018 Paris",75018,48.846682,2.263172,Libanais,,50-100,Haut de gamme,3.9,779,Calme,0191457672,false
Les Leblanc,"61 rue de la Roquette, 75011 Paris",75011,48.870682,2.285162,Caribéen,Fruits de mer,20-30,Moyenne gamme,3.8,166,Animé,0118636252,false
Lopes & Meyer,"100 boulevard Voltaire, 75001 Paris",75001,48.882999,2.296399,Sushi,Méditerranéen,10-20,Bon marché,4.9,315,Terrasse,0163787987,false
Fabre & Ledoux,"8 boulevard Raspail, 75011 Paris",75011,48.909267,2.273069,Coréen,,50-100,Haut de gamme,4.8,647,Romantique,0160858294,true
Marques & Henry,"47 rue de la Paix, 75009 Paris",75009,48.808855,2.411826,Marocain,Crêperie,50-100,Haut de gamme,3.6,984,Vue panoramique,0142207012,false
Chez Éric,"18 rue de Ménilmontant, 75002 Paris",75002,48.843561,2.312712,Burger,Français,100+,Haut de gamme,3.3,139,Historique,0195248237,true
Délice d'Or,"80 boulevard Haussmann, 75019 Paris",75019,48.931322,2.39455,Mexicain,Bistrot,50-100,Haut de gamme,4.9,213,Branché,0185989041,true
Délice Parisien,"11 avenue de Wagram, 75018 Paris",75018,48.878156,2.276008,Vietnamien,Tapas,30-50,Moyenne gamme,3.0,440,Historique,0123655691,false
Chez Alex,"134 rue de Ménilmontant, 75009 Paris",75009,48.841457,2.329,Caribéen,,50-100,Haut de gamme,3.9,758,Traditionnel,0151412145,false
Menu Royal,"8 boulevard Barbès, 75011 Paris",75011,48.922413,2.333058,Marocain,Pizza,30-50,Moyenne gamme,3.6,620,Traditionnel,0181117634,true
Chez Étienne,"122 rue de Ménilmontant, 75016 Paris",75016,48.926809,2.306235,Français,Burger,50-100,Haut de gamme,4.4,323,Intime,0170807754,true
Pelletier & Barre,"70 avenue de l'Opéra, 75009 Paris",75009,48.966023,2.339188,Marocain,Ramen,100+,Haut de gamme,4.9,716,Décontracté,0134377145,false
Les Texier,"26 rue du Faubourg Saint-Antoine, 75010 Paris",75010,48.927975,2.26744,Libanais,Ramen,100+,Haut de gamme,3.3,56,Familial,0180479926,false
Cuisine Savoureux des Saveurs,"88 avenue Montaigne, 75002 Paris",75002,48.842192,2.344872,Méditerranéen,Végan,50-100,Haut de gamme,4.0,600,Familial,0129298248,true
Aubry & Bertrand,"58 avenue de Clichy, 75013 Paris",75013,48.912273,2.2767,Brésilien,Street food,50-100,Haut de gamme,3.6,645,Familial,0188223690,true
