nom,adresse,arrondissement,latitude,longitude,type_cuisine,specialite,prix_fourchette,categorie_prix,note_moyenne,nb_avis,ambiance,telephone,vegetarien_friendly,reservation_recommandee
Les Vidal,"133 Place Vendôme, 75001 Paris",75001,48.854929,2.384132,Français,Bistrot,20-30,Moyenne gamme,3.7,150,Convivial,0153999015,True,False
Aux Hernandez,"25 Boulevard Haussmann, 75012 Paris",75012,48.831962,2.352124,Chinois,Cantonais,30-50,Moyenne gamme +,3.8,913,"Branché, Modern",0164730589,False,True
La Fille,"105 Rue du Faubourg Saint-Honoré, 75016 Paris",75016,48.850214,2.325181,Thaïlandais,Traditionnel,20-30,Moyenne gamme,3.9,405,"Traditionnel, Élégant, Business",0125689163,False,True
Maison Digne,"142 Rue de Rennes, 75014 Paris",75014,48.884557,2.339023,Fusion,Modern Fusion,30-50,Moyenne gamme +,4.3,283,"Élégant, Business, Romantique",0172867320,False,True
Le Bernier,"144 Rue Oberkampf, 75012 Paris",75012,48.851333,2.375182,Italien,Trattoria,30-50,Moyenne gamme +,4.4,60,"Romantique, Décontracté",0193560624,True,True
La Saveurs Durand,"37 Boulevard Haussmann, 75006 Paris",75006,48.841161,2.357339,Thaïlandais,Street food,20-30,Moyenne gamme,4.6,60,"Élégant, Familial",0126420934,True,True
Chez Table Dupré,"88 Avenue Montaigne, 75019 Paris",75019,48.843185,2.392567,Thaïlandais,Street food,50+,Haut de gamme,3.8,18,Traditionnel,0178282346,False,True
Chez Clair,"46 Rue du Faubourg Saint-Honoré, 75005 Paris",5005,48.82161,2.31586,Indien,Sud-Indien,50+,Haut de gamme,5.0,429,"Cosy, Familial",0127103444,True,False
Le Guillon,"105 Avenue Montaigne, 75002 Paris",75002,48.892736,2.329346,Indien,Sud-Indien,20-30,Moyenne gamme,4.4,285,"Branché, Décontracté",0199929872,False,False
La Masson,"50 Rue de Passy, 75016 Paris",5016,48.858222,2.307094,Japonais,Ramen,10-20,Bon marché,4.5,379,"Familial, Décontracté, Cosy",0169178146,False,False
Aux Côté,"150 Avenue Victor Hugo, 75012 Paris",5012,48.852751,2.389684,Indien,Sud-Indien,20-30,Moyenne gamme,4.3,16,"Traditionnel, Business, Romantique",0160528883,True,True
La Legros,"98 Avenue Victor Hugo, 75014 Paris",5014,48.830179,2.364168,Végétarien,Végétarien,20-30,Moyenne gamme,4.9,1061,"Modern, Branché",0199854107,False,True
Au Simon,"1 Avenue des Champs-Élysées, 75011 Paris",5011,48.853835,2.321623,Français,Bistrot,20-30,Moyenne gamme,4.9,545,"Familial, Élégant, Convivial",0104630673,True,True
Le Bouvet,"109 Rue du Faubourg Saint-Honoré, 75007 Paris",5007,48.866084,2.324215,Français,Gastronomique,20-30,Moyenne gamme,3.6,81,"Cosy, Décontracté",0103981548,False,False
L' Hamel,"113 Avenue Victor Hugo, 75010 Paris",5010,48.857162,2.341289,Italien,Trattoria,20-30,Moyenne gamme,3.9,70,"Convivial, Traditionnel, Cosy",0124666169,True,True
Le Turpin,"115 Rue de Rivoli, 75002 Paris",5002,48.880857,2.33006,Thaïlandais,Traditionnel,10-20,Bon marché,4.8,70,Convivial,0136132882,False,False
Le Camus,"80 Boulevard Voltaire, 75011 Paris",5011,48.902545,2.386257,Fusion,Modern Fusion,50+,Haut de gamme,4.5,82,"Modern, Décontracté",0143679880,True,True
Au Pruvost,"66 Boulevard Haussmann, 75017 Paris",5017,48.890225,2.339265,Chinois,Dim Sum,10-20,Bon marché,4.7,233,"Romantique, Branché, Décontracté",0155600327,True,False
Les Restaurant Dubois,"125 Boulevard Saint-Germain, 75020 Paris",5020,48.838559,2.353991,Italien,Trattoria,20-30,Moyenne gamme,4.2,179,"Convivial, Décontracté, Traditionnel",0115805452,False,False
Aux Leroux,"49 Boulevard Voltaire, 75002 Paris",5002,48.832456,2.342006,Fusion,Modern Fusion,30-50,Moyenne gamme +,4.1,113,"Familial, Branché, Business",0106613139,False,False
L' Cuisine Bernier,"69 Rue du Faubourg Saint-Honoré, 75005 Paris",5005,48.844069,2.321367,Français,Traditionnel,20-30,Moyenne gamme,3.9,293,"Cosy, Branché",0190485186,False,True
Le Garnier,"7 Rue de la Paix, 75004 Paris",5004,48.813892,2.335103,Méditerranéen,Grec,20-30,Moyenne gamme,4.3,55,"Romantique, Convivial",0176814817,False,True
Maison Saveurs Tessier,"12 Rue de Rennes, 75020 Paris",5020,48.810825,2.370648,Thaïlandais,Street food,30-50,Moyenne gamme +,3.7,113,"Romantique, Business",0139920471,False,False
La Relation,"18 Rue de Passy, 75016 Paris",5016,48.841343,2.322743,Libanais,Mezze,30-50,Moyenne gamme +,4.3,146,"Décontracté, Cosy, Traditionnel",0177602518,True,True
Au Table Navarro,"19 Avenue Montaigne, 75002 Paris",5002,48.857878,2.328982,Chinois,Dim Sum,50+,Haut de gamme,4.6,134,Branché,0162732147,True,True
Au Table Sauvage,"65 Rue de la Roquette, 75003 Paris",5003,48.808456,2.38793,Japonais,Ramen,20-30,Moyenne gamme,4.6,471,"Modern, Décontracté",0166807404,False,False
Maison Imposer,"117 Rue de la Paix, 75001 Paris",5001,48.83912,2.368721,Végétarien,Vegan,20-30,Moyenne gamme,4.2,76,"Branché, Convivial",0169289805,False,True
Chez Lourd,"92 Place Vendôme, 75008 Paris",5008,48.829873,2.396654,Fusion,Asian Fusion,20-30,Moyenne gamme,4.5,226,"Cosy, Convivial",0165848816,True,True
